 	Portrait of a Woman, Possibly Maria Trip	Young Woman in Fantasy Costume	Landscape with a Stone Bridge	The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	The Milkmaid	Woman Reading a letter	View of Houses in Delft, Known as ‘The Little Street’ 	The Merry Family	The Sick Woman	Woman at her Toilet	The Anatomy Lesson of Dr Nicolaes Tulp	Suzanna	'Tronie' of a Man with a Feathered Beret	Girl with Pearl Earring	View of Delft	Diana and her Nymphs	'As the Old Sing, So Pipe the Young'	The Sick Girl	The Doctor's Visit	Girl Eating Oysters	
Portrait of a Woman, Possibly Maria Trip	20	1	0	1	0	1	1	1	1	0	2	0	0	1	0	0	0	1	1	1	
Young Woman in Fantasy Costume	1	23	2	1	1	2	1	1	4	0	4	2	4	2	1	1	1	1	1	3	
Landscape with a Stone Bridge	0	2	20	2	1	0	3	0	0	0	2	1	2	2	1	1	0	0	0	1	
The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	1	1	2	18	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	
The Milkmaid	0	1	1	0	15	1	2	0	0	0	1	0	1	2	3	1	0	0	0	1	
Woman Reading a letter	1	2	0	0	1	23	2	1	2	1	1	2	1	1	2	2	1	1	1	3	
View of Houses in Delft, Known as ‘The Little Street’ 	1	1	3	0	2	2	23	0	0	0	2	0	1	2	3	2	0	0	0	1	
The Merry Family	1	1	0	0	0	1	0	23	1	0	1	1	1	0	1	0	5	1	2	2	
The Sick Woman	1	4	0	0	0	2	0	1	19	0	1	1	3	1	0	0	2	3	2	4	
Woman at her Toilet	0	0	0	0	0	1	0	0	0	17	0	0	0	1	0	0	1	1	1	1	
The Anatomy Lesson of Dr Nicolaes Tulp	2	4	2	3	1	1	2	1	1	0	25	1	3	2	1	0	1	1	1	2	
Suzanna	0	2	1	1	0	2	0	1	1	0	1	18	3	0	0	0	2	0	0	1	
'Tronie' of a Man with a Feathered Beret	0	4	2	1	1	1	1	1	3	0	3	3	27	4	1	0	0	1	0	1	
Girl with Pearl Earring	1	2	2	0	2	1	2	0	1	1	2	0	4	27	2	1	0	1	1	1	
View of Delft	0	1	1	0	3	2	3	1	0	0	1	0	1	2	26	1	0	0	0	1	
Diana and her Nymphs	0	1	1	0	1	2	2	0	0	0	0	0	0	1	1	20	0	0	0	2	
'As the Old Sing, So Pipe the Young'	0	1	0	0	0	1	0	5	2	1	1	2	0	0	0	0	23	2	2	3	
The Sick Girl	1	1	0	0	0	1	0	1	3	1	1	0	1	1	0	0	2	18	9	3	
The Doctor's Visit	1	1	0	0	0	1	0	2	2	1	1	0	0	1	0	0	2	9	18	2	
Girl Eating Oysters	1	3	1	0	1	3	1	2	4	1	2	1	1	1	1	2	3	3	2	23	
