id	painting	author	description	thumbnailURL	museum	keywords
Portrait_of_a_Woman_Possibly_Maria_Trip	Portrait of a Woman, Possibly Maria Trip	Rembrandt van Rijn	The young sitter is assumed to be Maria Trip, the daughter of a wealthy Amsterdam merchant. She displaysher wealth with pride. Her dress is trimmed with white linen so fine it is almost transparent. She sports a fortune in pearls, and in her left hand she casually holds the knobbed handle of a folding fan. In 1639 thiswas still a rare and costly accessory.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-C-597&size=LARGE&type=IMAGE	Rijksmuseum	white linen dress fortune maria trip pearls pride costly accessory wealthy amsterdam merchant daughter left hand folding fan young sitter
Young_Woman_in_Fantasy_Costume	Young Woman in Fantasy Costume	Rembrandt van Rijn	The young woman’s clothing is not in keeping with the fashions of Rembrandt’s day, but rather reflects styles of earlier centuries. The woman’s distinctive features – a domed forehead, slightly bulging eyes, andpronounced chin – are easily recognized in depictions of ancient goddesses and heroines that Rembrandtpainted in the 1630s. Thus the painting is not strictly a portrait, but a ‘tronie’, or fantasy head.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-4057&size=LARGE&type=IMAGE	Rijksmuseum	chin fashions heroines young woman portrait eyes earlier centuries depictions ancient goddesses painting distinctive features fantasy head domed forehead 1630s clothing styles rembrandt
Landscape_with_a_Stone_Bridge	Landscape with a Stone Bridge	Rembrandt van Rijn	Rembrandt painted only a few landscapes, mostly imaginary mountain scenes. Although The Stone Bridgeis composed of elements studied from reality, it probably does not represent a specific place. The painting’smagical quality derives from its dramatic illumination: a beam of sunlight breaks through the clouds, makingthe approaching storm seem twice as menacing.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-1935&size=LARGE&type=IMAGE	Rijksmuseum	landscapes beam specific place storm dramatic illumination stone bridge clouds imaginary mountain scenes magical quality painting sunlight breaks reality rembrandt
The_Wardens_of_the_Amsterdam_Drapers’_Guild_Known_as_‘The_Syndics’	The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	Rembrandt van Rijn	The syndics inspected the quality of dyed cloth. Rembrandt portrayed them looking up from their work, as though disturbed by our arrival. This artistic device was a clever way of enlivening the scene and thereby involving the viewer. This late work by Rembrandt not only attests to his endless creativity, but also to his undiminished popularity among the citizens of Amsterdam.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-C-6&size=LARGE&type=IMAGE	Rijksmuseum	undiminished popularity arrival artistic device quality scene amsterdam syndics late work clever way citizens endless creativity rembrandt cloth
The_Milkmaid	The Milkmaid	Johannes Vermeer	A maidservant pours milk, entirely absorbed in her work. Except for the stream of milk, everything else is still. Vermeer took this simple everyday activity and made it the subject of an impressive painting – the woman stands like a statue in the brightly lit room. Vermeer also had an eye for how light by means of hundreds of colourful dots plays over the surface of objects.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-2344&size=LARGE&type=IMAGE	Rijksmuseum	colourful dots simple everyday activity vermeer maidservant pours milk impressive painting statue brightly lit room
Woman_Reading_a_letter	Woman Reading a letter	Johannes Vermeer	Enjoying a quiet, private moment, this young woman is absorbed in reading a letter in the morning light. She is still wearing her blue night jacket. All of the colours in the composition are secondary to its radiant lapis lazuli blue. Vermeer recorded the effects of light with extraordinary precision. Particularly innovative is his rendering of the woman’s skin with pale grey, and the shadows on the wall using light blue.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-C-251&size=LARGE&type=IMAGE	Rijksmuseum	radiant lapis vermeer pale grey skin rendering young woman extraordinary precision blue night jacket private moment effects morning light composition letter shadows colours
View_of_Houses_in_Delft_Known_as_‘The_Little_Street’_	View of Houses in Delft, Known as ‘The Little Street’ 	Johannes Vermeer	This painting of a quiet street with a few figures occupies an exceptional place in Vermeer’s oeuvre. Straightangles give the composition balance, while the triangle of the sky introduces a sense of dynamism. The oldwalls, coarse bricks, and white plasterwork are almost palpable. Vermeer nonetheless took some libertieswith reality, such as the oversized green shutters.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-2860&size=LARGE&type=IMAGE	Rijksmuseum	vermeer composition balance angles figures liberties exceptional place sense white plasterwork triangle walls painting oversized green shutters dynamism reality quiet street coarse bricks
The_Merry_Family	The Merry Family	Jan Havicksz Steen	This boisterous family is making a lot of noise: the father sings at the top of his lungs while raising a glass; the mother and grandmother chime in; and the children are either blowing into a wind instrument or smoking a long pipe. The note hanging from the mantelpiece gives away the moral of the story: ‘As the old sing, so shall the young twitter.’ What will become of the children if their parents set the wrong example?	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-C-229&size=LARGE&type=IMAGE	Rijksmuseum	note glass grandmother chime young twitter. father old sing mantelpiece moral wind instrument children wrong example noise boisterous family lungs long pipe story
The_Sick_Woman	The Sick Woman	Jan Havicksz Steen	Faint from fever, the young woman rests her head on a pillow. Is she perhaps lovesick? Is she pregnant? To find out, a quack would put a strip of his patient’s clothing in a brazier to smoulder – the scent would disclose her secret. Jan Steen here presents such a charlatan making a diagnosis. His old-fashioned attire characterizes him as a comic character.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-C-230&size=LARGE&type=IMAGE	Rijksmuseum	comic character charlatan fever quack secret young woman jan steen head strip patient’s clothing brazier pillow scent old-fashioned attire
Woman_at_her_Toilet	Woman at her Toilet	Jan Havicksz Steen	This is an intimate moment – a girl undressing before going to bed. She is just pulling off a stocking. Theindentation left by her garter is visible just below her knee. Her raised skirt allows the viewer a peak up along her bare legs. The image’s explicit eroticism did not always find favour; until a hundred years ago, an underskirt was painted over her thighs.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-4052&size=LARGE&type=IMAGE	Rijksmuseum	thighs image viewer stocking garter explicit eroticism bare legs intimate moment peak girl favour knee indentation skirt
The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp	The Anatomy Lesson of Dr Nicolaes Tulp	Rembrandt van Rijn	Rembrandt was only twenty-five when he was asked to paint the portraits of the Amsterdam surgeons. The portrait was commissioned for the anatomy lesson given by Dr Nicolaes Tulp in January 1632. Rembrandt portrayed the surgeons in action, and they are all looking at different things. Dynamism is added to the scene by the great contrasts between light and dark. In this group portrait, the young painter displayed his legendary technique and his great talent for painting lifelike portraits.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffileshare.mauritshuis.nl%2Fcollectie%2F146_repro.jpg&size=LARGE&type=IMAGE	Mauritshuis	dr nicolaes tulp different things scene young painter legendary technique group portrait anatomy lesson great contrasts painting lifelike portraits action great talent amsterdam surgeons rembrandt dynamism
Suzanna	Suzanna	Rembrandt van Rijn	Susanna is just about to bathe, when two old men appear from the bushes. She is looking up in alarm –the men behind her on the right are hardly visible in the dark. They try to force Susanna to have sex with them, threatening to spread slander about her. Rembrandt portrayed Susanna in full light, which makes her appear even more vulnerable in her nakedness. He did not paint an idealised woman, but one of flesh and blood. You can still see the impression left on her calves by her stockings.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffileshare.mauritshuis.nl%2Fcollectie%2F0147_repro.jpg&size=LARGE&type=IMAGE	Mauritshuis	sex slander right nakedness old men calves light bushes alarm dark stockings impression flesh idealised woman susanna rembrandt
'Tronie'_of_a_Man_with_a_Feathered_Beret	'Tronie' of a Man with a Feathered Beret	Rembrandt van Rijn	A man twists his head to the right and looks at us over his shoulder. He is strikingly dressed in a feathered beret and a cloak with gold embroidery. The light is falling brightly on his face and casting a beautiful sheen on his metal gorget. The painting is not a portrait, but a ‘tronie’, or character sketch. In this case, it is of a soldier, who is dressed in an old-fashioned style. Rembrandt did not sign the painting RHL (Rembrandt Harmenszoon Leydensis), as he had done for a long time before that, but with his first name alone.	https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffileshare.mauritshuis.nl%2Fcollectie%2F0149_repro.jpg&size=LARGE&type=IMAGE	Mauritshuis	old-fashioned style beret metal gorget right portrait rembrandt harmenszoon leydensis beautiful sheen gold embroidery head face painting rhl cloak soldier light character sketch long time man shoulder
